Date,Time,Service Category,Technician,Ad Spend,Conversions,Revenue,Client Type
2025-04-23,Evening,Account,Rachel,94.95,5,311.49,Loyal
2024-12-29,Afternoon,True,Robert,23.27,1,425.4,New
2025-01-16,Evening,Country,Jason,86.5,6,217.68,New
2025-03-03,Night,Expert,Scott,96.69,2,259.06,New
2025-02-08,Evening,Than,Michelle,48.37,8,327.72,New
2024-11-18,Evening,Word,Linda,99.37,4,305.24,Loyal
2025-02-02,Night,Similar,Diana,30.33,2,486.11,Returning
2024-12-09,Night,Education,Jesus,12.13,5,106.4,New
2024-12-22,Night,Well,Patrick,49.5,10,383.76,Returning
2025-02-14,Afternoon,Position,Sharon,98.66,6,382.17,Loyal
2025-02-11,Evening,Its,Robin,13.41,6,320.11,Returning
2024-12-23,Night,Inside,Maureen,17.15,3,360.46,New
2025-04-14,Afternoon,Somebody,Terri,136.74,0,356.84,New
2025-03-02,Night,Nor,Taylor,110.98,7,267.27,New
2025-01-12,Evening,Feel,Brad,104.65,6,257.2,Returning
2025-03-25,Night,Least,Wendy,99.57,4,219,Loyal
2025-01-14,Morning,Drug,Michelle,16.07,9,69.16,Returning
2025-04-15,Morning,Offer,Holly,121.2,5,140.08,New
2025-03-31,Evening,Red,Bruce,58.99,8,429.72,Loyal
2025-04-03,Morning,Agree,Harry,106.84,3,240.5,Loyal
2025-01-07,Night,Let,Susan,141.67,1,136.1,New
2025-02-22,Afternoon,Option,Heidi,70.59,5,469.31,Loyal
2024-12-30,Night,Worker,Jason,39.74,3,271.86,Returning
2025-01-30,Night,Move,Benjamin,140.81,10,410.31,New
2025-04-06,Evening,Office,Kelly,50.24,9,204.96,Loyal
2025-03-03,Evening,Only,William,35.7,10,87.79,Returning
2025-04-16,Morning,Position,Robin,120.48,4,211.93,Loyal
2024-12-13,Afternoon,Name,Larry,69.14,0,45.92,Returning
2025-02-21,Evening,Son,Michael,104.4,1,63.23,New
2024-11-12,Afternoon,Final,Kristin,16.99,7,152.04,Returning
2025-02-06,Morning,Think,Joseph,89.94,9,372.03,New
2025-01-13,Night,Reach,Sara,92.19,3,361.6,Returning
2025-01-20,Night,Simply,Sean,79.41,9,292.4,New
2025-01-29,Afternoon,Fill,Nicholas,54.02,6,316.27,Returning
2025-02-21,Morning,City,Thomas,51.63,0,48.66,New
2024-12-06,Night,Through,Thomas,31.33,5,37.81,Loyal
2025-03-07,Night,Enter,William,32.99,3,141.41,New
2025-03-29,Morning,Project,Andrea,40.19,7,353.56,Returning
2024-12-17,Morning,Push,Jacob,144.36,6,306.74,Loyal
2025-04-27,Evening,Evening,Shelly,29.86,6,438.63,New
2024-11-11,Evening,Morning,Maria,66.89,9,45.61,New
2025-03-16,Night,Oil,Joshua,109.83,0,123.07,New
2025-02-24,Morning,Poor,Stephen,78.42,9,158.46,Loyal
2025-01-02,Evening,Star,Erin,73.44,3,328.21,Loyal
2025-01-25,Evening,Kitchen,Christine,61.05,10,191.38,New
2025-02-13,Morning,Seem,Christina,100.38,1,367.61,New
2025-01-17,Evening,Difficult,Samuel,67.56,3,366.04,Loyal
2025-02-13,Night,Local,Christopher,101.74,1,342.59,Loyal
2025-04-06,Afternoon,Pull,Derrick,105.85,9,273.07,New
2025-04-23,Evening,Business,Cynthia,139.95,2,20.75,Loyal
2024-12-13,Evening,Them,Thomas,61.83,10,208.58,Loyal
2025-03-13,Afternoon,Feeling,Alexis,60.74,7,320.15,Returning
2025-03-25,Afternoon,Nature,Glenn,126.61,3,39.1,Returning
2025-04-21,Evening,State,Kari,41.03,0,148.04,Returning
2025-04-21,Night,Phone,Julie,121.25,8,411.44,Returning
2025-04-21,Evening,Trial,Raymond,145.9,7,415.94,New
2025-02-18,Night,Well,Brian,8.27,5,320.09,Returning
2025-03-10,Morning,Any,Christopher,94.21,9,497.23,Returning
2024-11-08,Morning,Step,Sharon,120.99,10,295.53,Loyal
2025-04-12,Night,Enough,Brian,9.45,2,431.17,New
2025-02-18,Evening,Later,Sara,148.4,1,487.35,Loyal
2025-02-12,Night,Rule,April,119.31,4,307.6,Loyal
2025-01-20,Afternoon,Federal,Michele,129.9,4,131.06,Loyal
2025-01-09,Morning,Like,Michael,76.79,7,415.84,New
2025-02-18,Afternoon,Government,Heidi,82.9,3,147.5,Returning
2025-03-06,Evening,Scene,Thomas,49.77,2,29.32,Loyal
2025-04-07,Afternoon,Recently,Elizabeth,49.98,2,441.02,Returning
2024-12-25,Afternoon,Place,Gary,65.79,8,115.29,Returning
2025-03-16,Afternoon,Same,Joseph,46.48,6,31.57,New
2025-03-25,Evening,Another,Shannon,12.73,2,78.68,Loyal
2025-01-11,Evening,Forget,Elizabeth,62.83,4,237.11,Loyal
2025-01-01,Morning,Relate,Karen,35.05,3,499.94,Loyal
2025-03-10,Evening,Foreign,Joshua,127.73,7,319.39,New
2025-04-10,Morning,Picture,Taylor,35.12,5,150.22,Loyal
2024-12-08,Evening,See,Leah,74.37,6,479.14,New
2024-11-10,Morning,Purpose,Whitney,43.11,7,131.76,New
2025-04-05,Morning,Ever,Christina,19.26,9,182.82,Loyal
2025-02-02,Night,Perhaps,Raymond,52.33,9,135.3,Returning
2025-02-06,Night,Economic,Ross,22,10,413.47,New
2025-04-19,Afternoon,Night,James,43.2,4,225,New
2025-04-11,Evening,Wish,Penny,116.38,3,356.5,New
2025-01-23,Night,Direction,Aaron,107.24,0,269.12,Loyal
2024-12-30,Evening,Paper,James,86.93,2,236.37,Loyal
2025-02-24,Evening,Movement,John,90.85,8,168.9,Loyal
2025-02-08,Night,Find,Tracy,105.89,0,202.18,Loyal
2024-12-15,Night,Future,Brady,50.6,4,75.38,Loyal
2025-03-05,Afternoon,Even,Denise,51.61,4,277.9,Loyal
2025-03-24,Morning,Nation,Joel,85.23,3,34.96,New
2025-03-16,Night,Crime,Michelle,22.73,9,301.56,Returning
2025-01-23,Morning,Realize,Carolyn,16.64,7,257.29,Returning
2025-02-14,Night,Mr,Rachael,144.5,4,324.12,New
2025-04-20,Night,Role,Courtney,133.28,6,102.6,New
2024-11-03,Afternoon,Speak,Candace,15.24,8,413.37,Loyal
2025-03-09,Night,Something,Kim,117.74,10,32.58,Returning
2025-02-21,Night,We,Andrew,116.6,5,218.8,Returning
2025-03-28,Night,At,James,104.46,1,338.06,New
2024-11-29,Afternoon,Deal,Jerry,130.48,5,150.81,Loyal
2025-02-04,Evening,Describe,Andrew,143.05,3,368.95,Loyal
2024-12-06,Morning,Second,Gabriel,95.44,10,69.48,Returning
2024-11-02,Evening,Above,Daniel,110.94,4,357.81,Returning
2025-04-23,Morning,Recent,Jenna,36.22,2,103.02,Returning
2025-01-15,Morning,Laugh,Shawn,109.88,9,464.86,Returning
2024-11-15,Night,Either,Stephanie,67.66,5,274.74,Loyal
2025-03-15,Afternoon,Mind,Stacey,82.43,5,155.05,Loyal
2025-01-27,Afternoon,Identify,Nathan,25.86,1,406.99,New
2025-01-22,Afternoon,Wide,Aaron,51.95,5,225.91,Returning
2025-01-08,Afternoon,Off,Amanda,64.18,1,193.64,New
2024-12-08,Afternoon,American,Dawn,116.31,2,344.55,Loyal
2025-01-26,Afternoon,Hotel,Deanna,40.85,1,147.42,New
2025-01-16,Morning,Task,Jake,82.29,5,64.48,Returning
2024-12-01,Afternoon,Notice,Luis,141.47,6,391.79,Returning
2025-01-09,Night,Behavior,Jennifer,40.3,4,65.94,Loyal
2025-03-11,Evening,Suffer,Lauren,11.94,8,212.5,Loyal
2025-01-13,Evening,Thousand,Victoria,5.6,1,53.46,New
2025-01-02,Afternoon,Present,Todd,59.69,2,354.37,Returning
2025-04-22,Night,Federal,Kathleen,38.14,10,71.43,New
2025-04-08,Afternoon,Space,Jessica,44.84,3,114.42,Loyal
2025-01-02,Morning,Avoid,Melissa,66.25,8,180.82,Loyal
2025-02-26,Night,Serve,Helen,103.98,5,236.98,Loyal
2025-02-08,Morning,Common,Austin,43.85,6,357.63,New
2024-12-01,Afternoon,Person,Jennifer,135.72,9,114.18,Returning
2024-12-04,Morning,Particular,Kenneth,125.98,9,239.44,Returning
2025-03-05,Evening,Happen,Cody,84.99,0,85.71,Loyal
2025-04-07,Afternoon,Three,Christopher,83.66,10,59.56,New
2025-04-05,Evening,Travel,Raymond,44.4,10,418.92,New
2025-04-17,Evening,Industry,Brandon,131.58,2,155.49,Loyal
2024-11-14,Afternoon,Gun,Michelle,95.8,2,153.75,Loyal
2025-02-08,Evening,Board,Elizabeth,19.37,5,484.12,Loyal
2024-11-18,Afternoon,Future,Kristen,29.26,6,283.67,Loyal
2024-11-13,Morning,Hair,Nicholas,61.54,9,419.66,New
2024-11-08,Morning,Much,Jill,113.71,10,240.72,Loyal
2025-04-01,Morning,Painting,Emily,85.18,7,82.85,New
2025-04-24,Afternoon,Measure,Briana,12.33,10,172.81,Loyal
2024-12-23,Evening,Test,Christine,118.22,8,305.87,New
2024-12-04,Morning,Realize,Jessica,39.18,9,456.29,New
2025-02-09,Evening,Memory,William,120.36,7,56.23,New
2025-01-31,Evening,Street,Paul,140.39,5,42.31,New
2025-01-05,Evening,Body,Patrick,149.05,7,250.08,New
2024-12-13,Night,Major,Christina,90.62,7,236.35,Loyal
2025-01-20,Evening,Care,Mary,34.69,3,451.44,Loyal
2024-11-15,Night,Edge,Matthew,124.79,9,419.82,Returning
2024-11-13,Evening,Worry,Jason,37.3,7,90.98,Loyal
2025-03-13,Afternoon,Would,Cory,56.62,1,317.4,Returning
2025-01-29,Evening,Beyond,Andrew,133.35,10,29.47,Returning
2024-11-28,Evening,Child,Lauren,81.06,6,63.71,Returning
2025-04-21,Afternoon,Else,Patrick,124.12,6,389.3,New
2025-04-21,Afternoon,Because,Katie,98.39,1,476.47,Returning
2025-03-24,Night,Look,Brandon,129.36,3,191.04,New
2024-11-22,Morning,Democratic,Kari,59.01,0,296.26,Loyal
2025-03-10,Morning,Power,Douglas,76.76,9,185.56,New
2025-02-01,Afternoon,Hour,Pamela,105.73,10,308.83,Loyal
2024-11-11,Afternoon,American,Joseph,19.07,10,338.52,New
2025-03-27,Night,Blue,Susan,119,4,88.76,Returning
2024-11-15,Evening,Evidence,Misty,14.44,1,31.63,Loyal
2024-11-28,Afternoon,Produce,Cristian,74.61,8,365.31,Loyal
2024-12-27,Afternoon,Girl,Danielle,106.47,5,300.32,Loyal
2025-01-09,Afternoon,Develop,Deborah,98.41,0,472.71,Loyal
2024-11-29,Night,Compare,Nicole,14.28,5,93.08,Returning
2024-12-03,Evening,Contain,Erica,20.97,9,237.1,Returning
2024-12-21,Evening,Two,David,44.55,10,418.91,New
2025-04-07,Afternoon,Here,John,78.09,6,101.5,Loyal
2025-01-28,Evening,Current,Hunter,121.59,2,290.26,Loyal
2025-03-08,Night,Ask,Cody,89.63,10,486.56,Loyal
2025-04-25,Evening,Western,Olivia,40.91,7,240.92,Returning
2025-03-16,Morning,Food,Richard,9.27,5,376.69,New
2025-04-23,Evening,Economic,Mike,107.12,4,278.49,Returning
2025-03-27,Morning,Science,Melinda,35.78,3,163.96,Returning
2025-03-13,Night,Deep,Rodney,92.11,8,316.45,Loyal
2025-03-22,Afternoon,By,Gabriel,15.7,3,355.56,Returning
2024-11-05,Evening,Term,Kelly,93.14,1,104.64,Returning
2024-12-10,Afternoon,Back,Kevin,125.15,9,85.23,New
2025-02-09,Night,Partner,Michael,108.45,0,436.81,New
2025-04-19,Night,Institution,Bobby,133.78,2,334.29,Loyal
2024-12-31,Evening,Report,Robert,134.04,7,120.11,New
2024-11-06,Night,Much,Stephanie,62.25,6,227.31,New
2024-12-25,Morning,Already,Matthew,130.03,10,441.04,Loyal
2025-01-30,Evening,Choice,Dana,8.94,0,56.85,New
2024-12-31,Afternoon,Money,Angela,131.58,3,68.8,Returning
2025-04-27,Evening,Station,Michael,122.89,9,75.88,Loyal
2025-04-03,Evening,Theory,Cheryl,31.1,10,452.31,Returning
2025-01-10,Evening,Collection,Chad,22.15,8,341.26,Loyal
2025-01-31,Morning,Light,Steven,91.65,6,437.76,New
2025-01-28,Evening,Card,Laura,46.06,9,410.18,Loyal
2025-04-13,Afternoon,Happen,Victor,91.16,3,195.66,New
2024-11-28,Afternoon,Opportunity,Michael,98.61,3,265.35,Loyal
2024-12-03,Afternoon,Single,Erica,62.99,10,328.19,New
2024-11-04,Afternoon,Land,Derek,139.84,6,185.29,Returning
2025-03-02,Evening,Small,Michael,71.04,1,116.9,Loyal
2025-04-13,Afternoon,Base,Todd,44.37,9,230.1,Returning
2025-03-18,Afternoon,Director,Matthew,136.74,4,374.09,Returning
2024-11-13,Evening,Memory,Jon,21.94,7,107.85,New
2025-01-30,Afternoon,Since,Jacqueline,106.82,8,71.05,Returning
2024-11-01,Morning,Ball,Kenneth,68.73,3,95.79,New
2025-01-17,Afternoon,Unit,Stephanie,46.45,10,194.49,New
2025-03-28,Evening,Traditional,Kristin,41.36,9,213.76,Loyal
2025-04-12,Night,Use,Rose,122.16,3,442.39,New
2025-03-18,Night,Former,Stefanie,89.06,4,402.87,Loyal
2025-04-21,Evening,Reach,Matthew,50.65,0,55.3,New
2024-12-25,Morning,Involve,Logan,43.54,1,328.56,Returning
2025-02-25,Afternoon,Benefit,Holly,147.11,3,168.37,Returning
2025-02-18,Afternoon,Assume,Charles,67.01,8,333.67,Returning
2025-03-17,Evening,Feel,Kim,86.92,3,438.84,Loyal
2025-03-05,Night,Summer,Travis,107.09,4,318.23,Returning
2024-12-20,Afternoon,Water,Jade,121.12,1,309.55,Returning
2025-04-24,Morning,Not,David,100.19,1,194.57,Loyal
2024-11-19,Night,President,Steven,125.44,0,257.91,New
2025-01-22,Evening,Suffer,Brandon,93.13,7,37.96,New
2025-04-12,Night,Number,Russell,16.68,7,133.43,Loyal
2025-03-21,Afternoon,Audience,Suzanne,86.11,10,354.29,Loyal
2025-03-31,Night,Expert,Ricardo,71.78,1,289.21,Loyal
2025-04-09,Night,Science,Stanley,136.49,10,72,Loyal
2024-11-27,Afternoon,Past,Philip,109.81,8,429.5,Returning
2025-04-13,Morning,Tax,Danielle,71.16,7,101.49,Loyal
2025-03-23,Morning,Western,Daniel,55.25,6,239.21,Loyal
2024-11-07,Morning,Return,Victor,64.06,8,149.44,Loyal
2025-04-19,Afternoon,Southern,Michael,52.84,2,371.08,Loyal
2024-12-14,Morning,Allow,Miguel,13.54,7,441.43,Returning
2025-01-14,Evening,Just,Brian,144.67,6,231.27,New
2025-03-16,Afternoon,Home,Brenda,139.9,7,380.21,Loyal
2024-11-18,Evening,Appear,William,140.49,4,377.87,Loyal
2024-12-30,Evening,Relationship,Jose,129.82,4,196.02,Returning
2024-11-02,Afternoon,Past,Sharon,135.83,10,392.12,Loyal
2024-11-06,Evening,These,Thomas,149.73,3,149.08,Returning
2025-03-13,Afternoon,Young,Tonya,60.5,8,295.03,New
2024-11-04,Afternoon,Drive,Matthew,130.86,3,289.93,Loyal
2024-12-24,Afternoon,Value,Christopher,77.77,8,239.51,Returning
2024-10-30,Morning,As,Michael,19.24,7,438.41,Loyal
2024-11-28,Night,Together,Patricia,42.14,0,324.68,Returning
2024-11-04,Evening,Herself,Randy,51,2,483.13,Returning
2025-01-03,Night,Concern,Olivia,98.57,5,488.26,New
2024-11-12,Afternoon,Long,Sharon,21.67,2,155.15,Loyal
2024-12-04,Morning,Various,Robert,95.77,0,133.55,Loyal
2025-03-28,Night,Eye,Emily,89.49,1,399.64,New
2025-04-05,Night,Page,George,34.1,6,172.24,Loyal
2025-03-13,Morning,Blood,Ann,143.69,8,374.94,New
2025-02-21,Afternoon,His,Dylan,138.34,3,382.62,Returning
2024-11-30,Morning,Live,Victor,149.12,2,164.57,Loyal
2025-01-06,Night,Price,Darlene,120.71,4,45.4,New
2025-04-14,Afternoon,Material,Gilbert,129.98,2,427.16,Loyal
2025-01-22,Evening,Usually,Carolyn,49.56,4,392.53,Loyal
2024-12-09,Morning,Range,Stephen,69.14,2,157.81,Loyal
2024-11-17,Evening,Medical,Wendy,14.98,7,147.08,New
2025-01-01,Afternoon,Support,Samantha,34.61,5,253.61,New
2025-02-17,Night,Left,Kelly,72.82,8,414,Loyal
2024-12-20,Night,Meeting,Jenny,11.32,2,438.23,New
2025-01-13,Evening,Away,Sean,15.28,9,330.77,Returning
2024-12-21,Afternoon,Prevent,Brooke,40.2,8,440.03,Returning
2025-02-16,Evening,Lose,Thomas,117.66,10,189.54,Returning
2025-02-11,Night,Single,Christina,149.74,3,202.2,New
2025-04-21,Morning,Give,Max,20.54,2,92.52,Loyal
2024-12-26,Night,Person,Elizabeth,39.14,7,497.43,Loyal
2025-04-18,Afternoon,Really,Brian,11.59,9,254.56,Returning
2025-02-20,Afternoon,Far,Jennifer,71.8,4,254.89,Returning
2024-11-20,Evening,Mrs,Brianna,119.16,0,327.32,Loyal
2025-02-03,Evening,Arrive,Gary,55.16,10,475.38,Loyal
2024-12-04,Morning,Dinner,Janet,122.42,2,318.33,Loyal
2025-02-11,Night,Watch,Courtney,137.41,0,81.28,Returning
2025-03-06,Afternoon,Back,Linda,70.66,6,41.83,Loyal
2025-04-06,Afternoon,Cause,Thomas,44.81,5,160.65,Loyal
2024-12-21,Night,Subject,Joseph,55.3,3,394.03,Returning
2025-03-30,Evening,Never,John,23.97,10,190.75,Returning
2025-02-28,Afternoon,Another,Christine,66.74,10,161.97,Returning
2025-02-15,Night,Too,Christopher,38.38,7,494.34,New
2025-04-29,Afternoon,Child,Emily,110.51,3,187.16,Loyal
2025-03-05,Evening,Fall,Christopher,77.48,9,455.88,Returning
2025-03-24,Evening,Area,Sonya,90.17,10,478.18,Returning
2025-01-11,Evening,Attack,Jason,25.48,3,195.28,Returning
2025-03-05,Afternoon,Like,Joshua,51.94,2,306.04,New
2024-12-29,Night,Hit,Teresa,67.54,2,244.73,Loyal
2024-12-08,Morning,Partner,Joanne,133.85,10,375.18,Returning
2025-04-04,Afternoon,Job,David,133.05,2,318.83,New
2024-12-30,Morning,Site,Christine,89.33,4,211.55,Loyal
2024-11-22,Evening,Single,Tiffany,97.04,1,389.51,Loyal
2025-02-09,Morning,Can,Michael,9.94,1,65.44,Returning
2025-03-14,Afternoon,Specific,Steven,23.83,4,236.84,New
2025-02-09,Morning,Expect,Pamela,66.93,0,171.66,New
2025-01-22,Night,Range,Sandra,83.29,10,457,Returning
2024-11-09,Evening,Policy,Tim,15.65,10,425.46,Returning
2024-11-01,Night,Concern,Jamie,103.47,1,327.1,Loyal
2025-01-01,Evening,Choice,Kyle,36.53,10,479.33,Returning
2025-02-12,Night,Table,Denise,95.21,8,476.59,Loyal
2025-04-15,Afternoon,Cultural,Randy,48.26,5,153.46,Loyal
2025-01-03,Night,Like,Summer,102.76,9,370.7,New
2025-01-20,Evening,Billion,David,73.52,4,434.54,Loyal
2025-03-04,Afternoon,Must,Alyssa,101.69,4,174.87,New
2024-12-22,Morning,Call,Lawrence,140.71,9,361.39,Returning
2024-12-28,Afternoon,Though,James,94.05,6,103.15,Loyal
2025-01-19,Evening,Field,Benjamin,125.55,9,132.65,New
2025-03-25,Afternoon,People,Amy,76.45,3,275.73,Returning
2024-12-01,Evening,Condition,Douglas,24.47,5,102.27,Returning
2024-11-26,Afternoon,Tend,Jennifer,23.28,0,203.97,Loyal
2025-01-09,Afternoon,Always,William,139.86,9,318.7,Returning
2024-12-06,Evening,Yet,John,126.54,4,184.88,Returning
2025-03-25,Morning,Line,Joseph,133.83,4,439.04,New
2024-12-09,Night,Pattern,Heather,139.45,4,182.6,New
2024-12-03,Afternoon,Develop,Jason,24.58,4,397.95,Loyal
2024-12-31,Morning,Wish,Andrew,22.87,7,333.46,Loyal
2025-02-14,Afternoon,I,Shannon,32.4,2,79.43,Loyal
2025-02-26,Night,Or,Deanna,97.57,10,254.75,Loyal
2025-03-03,Morning,Wife,Charles,146,9,487.8,Loyal
2025-03-22,Night,Improve,Donald,42.17,7,283.99,Loyal
2025-02-24,Afternoon,Direction,Jon,12.85,2,193.72,Loyal
2024-11-23,Evening,Worry,Theresa,33.69,4,391.42,Loyal
2025-03-20,Night,Station,Katie,52.05,4,65.98,Loyal
2025-01-15,Morning,Reach,Margaret,113.75,6,449.48,New
2024-12-10,Morning,Catch,Kathryn,126.73,9,122.09,New
2025-02-13,Afternoon,Want,Shawn,29.75,3,342.2,Returning
2024-11-30,Night,Cold,Robert,108.62,8,282.57,Loyal
2025-04-09,Night,Develop,Vanessa,35.04,4,189.72,Loyal
2025-01-20,Morning,Eat,Laura,143.07,0,310.92,Returning
2025-03-22,Night,Political,Shannon,47.02,7,240.95,Loyal
2025-04-20,Afternoon,Citizen,Rickey,93,10,209.34,Returning
2024-10-31,Night,Central,David,72.42,10,60.8,Returning
2025-02-05,Morning,Certain,Stephanie,95.43,10,207.9,New
2025-01-27,Afternoon,Sign,Walter,98.98,1,325.68,Returning
2025-02-03,Evening,Radio,Lucas,19.28,6,124.64,New
2024-11-23,Night,Success,Mary,62.2,8,303.97,Returning
2025-03-05,Evening,Scene,Jeffrey,16.95,4,333.42,New
2025-01-20,Night,Test,Robert,51.3,5,202.33,Returning
2025-02-15,Afternoon,Machine,Deborah,9.87,7,84.25,Loyal
2024-12-04,Afternoon,Most,Scott,22.51,10,389.7,New
2024-11-17,Evening,Hope,Penny,13.22,9,369.73,Returning
2024-11-27,Evening,Raise,Edward,148.78,9,369.68,Loyal
2024-11-29,Night,Coach,Maria,110.32,0,487.63,New
2025-04-12,Evening,Upon,Daniel,68.8,10,263.07,Returning
2025-01-10,Afternoon,Society,Joseph,35.13,0,282.51,Loyal
2025-01-16,Morning,Second,Veronica,143.77,3,373.57,Returning
2025-04-28,Afternoon,It,Jeffrey,25.26,6,36.32,Loyal
2025-04-19,Morning,Avoid,David,21.28,6,302.63,Loyal
2024-12-28,Afternoon,Strategy,Donna,55.62,10,35.78,Loyal
2025-03-13,Evening,Argue,Jessica,116.73,9,429.08,New
2024-11-19,Night,Morning,Jennifer,105.03,0,120.59,Returning
2025-03-04,Morning,Television,Rachel,97.41,8,56.08,New
2025-03-08,Evening,Lose,Jeffrey,36.35,3,145.3,Returning
2025-03-29,Evening,Ever,Jessica,77.74,0,354.7,Returning
2025-01-20,Afternoon,Reveal,Denise,5.14,5,199.9,Returning
2024-12-30,Afternoon,Industry,Katrina,43.39,0,166.4,New
2025-03-19,Night,Newspaper,Carlos,44.72,4,320.93,New
2024-12-17,Afternoon,Significant,Susan,48.61,7,123.71,New
2024-11-26,Morning,Large,Angela,88.51,5,195.24,New
2024-12-09,Afternoon,Know,Tiffany,73.13,6,287.93,Loyal
2024-11-30,Morning,Author,Joe,117.73,6,221.95,New
2025-01-17,Afternoon,Allow,Jade,57.89,8,225.45,Returning
2025-04-01,Morning,Trouble,Samantha,126.42,8,225.33,Returning
2024-11-10,Night,Simple,Ashley,117.18,6,171.74,New
2025-02-07,Night,Better,Jonathan,64.2,10,242.31,New
2025-04-22,Afternoon,Himself,Debra,106.79,9,400.05,New
2025-02-24,Night,Start,Elizabeth,63.76,2,174.53,New
2024-12-21,Night,Talk,Robin,75.18,1,436.98,Returning
2024-12-24,Evening,Face,Christina,120.35,1,34.38,Loyal
2025-03-18,Night,Usually,Pamela,95.09,2,357.2,New
2025-02-24,Evening,Unit,Jennifer,94.69,9,295.97,Loyal
2024-12-31,Evening,Ball,Sabrina,34.38,0,78.39,Loyal
2025-02-02,Evening,Good,Edward,48.72,10,429.4,Returning
2025-02-09,Afternoon,Campaign,Kimberly,9.06,7,291.31,New
2025-01-13,Evening,Month,Lauren,131.88,3,360.31,Loyal
2024-11-29,Afternoon,Receive,Tina,57.62,1,139.3,Returning
2025-01-22,Afternoon,Record,Patrick,142.07,5,115.09,Loyal
